,end traj
10169,[-0.08277535 -0.25221519]
10170,[-0.04157384 -0.15406137]
10171,[-0.01110024 -0.05207104]
10172,[0.00829762 0.05259048]
10173,[0.01639814 0.15872741]
10174,[0.0131084 0.2651272]
10175,[-0.00153473  0.37057427]
10176,[-0.02736501  0.47386391]
10177,[-0.06408878  0.57381599]
10178,[-0.11128823  0.6692884 ]
10179,[-0.1684262   0.75919008]
10180,[-0.23485232  0.84249342]
10181,[-0.30981036  0.918246  ]
10182,[-0.39244692  0.98558144]
10183,[-0.48182108  1.04372924]
10184,[-0.57691517  1.09202357]
10185,[-0.67664636  1.1299109 ]
10186,[-0.77987898  1.15695624]
10187,[-0.88543744  1.17284813]
10188,[-0.9921197  1.1774022]
10189,[-1.09871087  1.17056325]
10190,[-1.20399712  1.15240587]
10191,[-1.30677948  1.12313363]
10192,[-1.4058875  1.0830767]
10193,[-1.50019262  1.03268817]
10194,[-1.58862096  0.97253881]
10195,[-1.67016563  0.90331061]
10196,[-1.74389814  0.82578898]
10197,[-1.80897903  0.74085385]
10198,[-1.86466739  0.64946959]
10199,[-1.91032933  0.55267406]
10200,[-1.94544521  0.45156677]
10201,[-1.96961551  0.34729636]
10202,[-1.96961551  0.34729636]
10203,[-1.98256544  0.24104749]
10204,[-1.98414804  0.13402738]
10205,[-1.97434587  0.02745203]
10206,[-1.95327118 -0.07746763]
10207,[-1.92116468 -0.17953952]
10208,[-1.87839274 -0.27760402]
10209,[-1.82544326 -0.37054718]
10210,[-1.76292009 -0.45731336]
10211,[-1.69153616 -0.53691734]
10212,[-1.61210535 -0.60845548]
10213,[-1.52553323 -0.67111603]
10214,[-1.43280671 -0.7241884 ]
10215,[-1.33498283 -0.76707124]
10216,[-1.23317672 -0.79927929]
10217,[-1.12854886 -0.82044892]
10218,[-1.02229188 -0.83034225]
10219,[-0.91561699 -0.82884988]
10220,[-0.80974013 -0.81599215]
10221,[-0.70586818 -0.79191886]
10222,[-0.60518514 -0.75690761]
10223,[-0.50883871 -0.71136062]
10224,[-0.41792716 -0.65580016]
10225,[-0.33348684 -0.59086256]
10226,[-0.25648038 -0.517291  ]
10227,[-0.1877857  -0.43592703]
10228,[-0.12818604 -0.347701  ]
10229,[-0.07836098 -0.25362141]
10230,[-0.03887876 -0.15476347]
10231,[-0.01018979 -0.05225684]
10232,[0.00737853 0.05272728]
10233,[0.01362546 0.15898943]
10234,[0.00847929 0.26531559]
10235,[-0.00800191  0.37049105]
10236,[-0.03563091  0.47331415]
10237,[-0.07409349  0.57261009]
10238,[-0.12295197  0.66724422]
10239,[-0.18165024  0.75613501]
10240,[-0.24952009  0.83826636]
10241,[-0.32578878  0.91269921]
10242,[-0.40958791  0.97858219]
10243,[-0.49996328  1.03516133]
10244,[-0.59588575  1.08178869]
10245,[-0.69626297  1.1179297 ]
10246,[-0.79995187  1.14316926]
10247,[-0.90577161  1.15721649]
10248,[-1.0125171  1.159908 ]
10249,[-1.11897268  1.15120982]
10250,[-1.223926    1.13121771]
10251,[-1.32618183  1.10015612]
10252,[-1.42457568  1.05837563]
10253,[-1.51798703  1.00634892]
10254,[-1.60535215  0.94466543]
10255,[-1.6856762   0.87402462]
10256,[-1.75804454  0.79522799]
10257,[-1.82163319  0.70916997]
10258,[-1.8757182   0.61682774]
10259,[-1.91968387  0.51925004]
10260,[-1.95302983  0.41754529]
10261,[-1.97537668  0.31286893]
10262,[-1.97537668  0.31286893]
10263,[-1.98647034  0.20641024]
10264,[-1.98618494  0.09937881]
10265,[-1.97452427 -0.00700924]
10266,[-1.95162169 -0.11154511]
10267,[-1.91773868 -0.21304112]
10268,[-1.87326179 -0.31034422]
10269,[-1.8186983  -0.40234912]
10270,[-1.75467037 -0.48801091]
10271,[-1.68190803 -0.56635694]
10272,[-1.60124081 -0.63649792]
10273,[-1.51358829 -0.69763804]
10274,[-1.41994965 -0.74908403]
10275,[-1.32139227 -0.79025308]
10276,[-1.21903955 -0.82067946]
10277,[-1.11405817 -0.84001986]
10278,[-1.00764471 -0.84805724]
10279,[-0.90101211 -0.84470336]
10280,[-0.79537578 -0.82999978]
10281,[-0.69193978 -0.80411734]
10282,[-0.59188311 -0.76735427]
10283,[-0.49634626 -0.72013274]
10284,[-0.40641821 -0.66299411]
10285,[-0.32312408 -0.59659271]
10286,[-0.24741335 -0.52168841]
10287,[-0.18014913 -0.43913795]
10288,[-0.12209829 -0.3498852 ]
10289,[-0.07392274 -0.25495037]
10290,[-0.03617185 -0.15541843]
10291,[-0.00927623 -0.05242671]
10292,[0.00645719 0.05284802]
10293,[0.01084864 0.15920301]
10294,[0.00384761 0.26542317]
10295,[-0.01446665  0.37029497]
10296,[-0.04388596  0.47262022]
10297,[-0.08407563  0.57122977]
10298,[-0.13457826  0.66499679]
10299,[-0.19481895  0.75284961]
10300,[-0.26411185  0.83378397]
10301,[-0.34166796  0.90687441]
10302,[-0.42660415  0.97128485]
10303,[-0.51795319  1.02627811]
10304,[-0.6146748   1.07122429]
10305,[-0.71566749  1.10560797]
10306,[-0.81978109  1.12903407]
10307,[-0.92582987  1.14123234]
10308,[-1.03260607  1.14206048]
10309,[-1.13889363  1.13150572]
10310,[-1.24348206  1.10968496]
10311,[-1.34518022  1.0768435 ]
10312,[-1.44282991  1.03335216]
10313,[-1.53531904  0.97970312]
10314,[-1.62159433  0.9165043 ]
10315,[-1.70067329  0.84447239]
10316,[-1.77165542  0.76442476]
10317,[-1.83373247  0.67727008]
10318,[-1.88619765  0.583998  ]
10319,[-1.92845366  0.48566785]
10320,[-1.96001955  0.38339663]
10321,[-1.98053614  0.2783462 ]
10322,[-1.98053614  0.2783462 ]
10323,[-1.98977015  0.17171011]
10324,[-1.98761684  0.06469996]
10325,[-1.97410121 -0.04146837]
10326,[-1.94937772 -0.14558862]
10327,[-1.91372852 -0.24647783]
10328,[-1.86756023 -0.34298988]
10329,[-1.81139934 -0.4340285 ]
10330,[-1.74588616 -0.5185598 ]
10331,[-1.67176758 -0.59562403]
10332,[-1.58988851 -0.66434649]
10333,[-1.5011823  -0.72394754]
10334,[-1.40666007 -0.77375148]
10335,[-1.3073992  -0.81319419]
10336,[-1.20453106 -0.84182964]
10337,[-1.09922812 -0.85933491]
10338,[-0.9926906 -0.8655139]
10339,[-0.88613278 -0.86029954]
10340,[-0.78076915 -0.84375459]
10341,[-0.67780061 -0.81607088]
10342,[-0.57840078 -0.77756718]
10343,[-0.48370261 -0.7286855 ]
10344,[-0.39478547 -0.66998611]
10345,[-0.31266288 -0.60214114]
10346,[-0.23827095 -0.52592691]
10347,[-0.17245768 -0.44221511]
10348,[-0.11597336 -0.35196282]
10349,[-0.06946198 -0.25620167]
10350,[-0.03345391 -0.15602604]
10351,[-0.00835984 -0.05258062]
10352,[0.00553388 0.05295267]
10353,[0.00806851 0.15936809]
10354,[-0.00078525  0.26544989]
10355,[-0.02092698  0.36998609]
10356,[-0.05212763  0.47178232]
10357,[-0.09403216  0.56967545]
10358,[-0.14616356  0.66254679]
10359,[-0.20792832  0.74933489]
10360,[-0.27862316  0.82904759]
10361,[-0.35744306  0.90077336]
10362,[-0.44349043  0.96369165]
10363,[-0.53578533  1.01708227]
10364,[-0.63327663  1.06033359]
10365,[-0.73485401  1.09294946]
10366,[-0.83936059  1.11455496]
10367,[-0.94560611  1.12490057]
10368,[-1.0523805   1.12386508]
10369,[-1.15846767  1.11145695]
10370,[-1.26265934  1.0878142 ]
10371,[-1.36376885  1.05320286]
10372,[-1.46064464  1.00801392]
10373,[-1.55218338  0.9527589 ]
10374,[-1.63734256  0.88806398]
10375,[-1.71515235  0.81466293]
10376,[-1.78472664  0.73338869]
10377,[-1.84527318  0.64516389]
10378,[-1.89610254  0.55099036]
10379,[-1.93663602  0.45193773]
10380,[-1.96641222  0.34913118]
10381,[-1.9850923   0.24373869]
10382,[-1.9850923   0.24373869]
10383,[-1.99246385  0.13695768]
10384,[-1.98844328  0.03000141]
10385,[-1.97307682 -0.07591487]
10386,[-1.94653995 -0.17958777]
10387,[-1.90913542 -0.27983946]
10388,[-1.8612898  -0.37553106]
10389,[-1.80354861 -0.46557567]
10390,[-1.73657014 -0.54895074]
10391,[-1.66111789 -0.62470968]
10392,[-1.57805192 -0.69199268]
10393,[-1.48831904 -0.75003653]
10394,[-1.392942   -0.79818323]
10395,[-1.29300788 -0.8358876 ]
10396,[-1.18965565 -0.86272339]
10397,[-1.08406324 -0.87838821]
10398,[-0.97743411 -0.88270692]
10399,[-0.87098352 -0.87563366]
10400,[-0.76592468 -0.85725238]
10401,[-0.66345498 -0.82777584]
10402,[-0.56474227 -0.78754324]
10403,[-0.47091162 -0.73701629]
10404,[-0.38303247 -0.67677403]
10405,[-0.30210645 -0.60750615]
10406,[-0.22905596 -0.53000521]
10407,[-0.16471369 -0.44515756]
10408,[-0.1098131  -0.35393323]
10409,[-0.06498007 -0.25737493]
10410,[-0.03072579 -0.15658613]
10411,[-0.00744091 -0.05271851]
10412,[0.00460888 0.05304118]
10413,[0.00528593 0.15948464]
10414,[-0.00541787  0.26539576]
10415,[-0.02738094  0.36956451]
10416,[-0.06035343  0.47080072]
10417,[-0.10396004  0.5679476 ]
10418,[-0.15770433  0.65989497]
10419,[-0.22097435  0.74559191]
10420,[-0.2930496   0.82405868]
10421,[-0.37310928  0.89439792]
10422,[-0.46024162  0.9558049 ]
10423,[-0.55345426  1.00757662]
10424,[-0.65168555  1.04911989]
10425,[-0.75381669  1.07995803]
10426,[-0.85868442  1.09973634]
10427,[-0.96509431  1.10822614]
10428,[-1.07183437  1.10532734]
10429,[-1.17768883  1.09106962]
10430,[-1.28145201  1.06561208]
10431,[-1.38194207  1.0292414 ]
10432,[-1.47801444  0.98236863]
10433,[-1.56857491  0.92552445]
10434,[-1.65259204  0.85935316]
10435,[-1.72910895  0.78460532]
10436,[-1.79725422  0.70212921]
10437,[-1.8562518   0.61286117]
10438,[-1.90542986  0.51781489]
10439,[-1.94422846  0.41806994]
10440,[-1.97220591  0.31475938]
10441,[-1.98904379  0.20905693]
10442,[-1.98904379  0.20905693]
10443,[-1.99455063  0.10216353]
10444,[-1.98866403 -0.00470628]
10445,[-1.97145142 -0.11033825]
10446,[-1.94310924 -0.21353223]
10447,[-1.90396077 -0.31311584]
10448,[-1.85445239 -0.40795785]
10449,[-1.79514851 -0.49698103]
10450,[-1.72672514 -0.57917446]
10451,[-1.64996221 -0.65360504]
10452,[-1.56573464 -0.71942809]
10453,[-1.47500242 -0.77589704]
10454,[-1.37879963 -0.82237186]
10455,[-1.27822269 -0.85832639]
10456,[-1.17441786 -0.88335435]
10457,[-1.06856815 -0.89717394]
10458,[-0.96187988 -0.89963105]
10459,[-0.85556895 -0.89070106]
10460,[-0.75084691 -0.87048905]
10461,[-0.64890725 -0.83922866]
10462,[-0.55091173 -0.7972794 ]
10463,[-0.45797719 -0.74512258]
10464,[-0.3711628  -0.68335579]
10465,[-0.291458   -0.61268611]
10466,[-0.21977121 -0.53392207]
10467,[-0.15691954 -0.44796441]
10468,[-0.10361939 -0.35579582]
10469,[-0.06047836 -0.25846979]
10470,[-0.0279883  -0.15709852]
10471,[-0.00651971 -0.05284034]
10472,[0.00368248 0.05311354]
10473,[0.00250173 0.1595526 ]
10474,[-0.01004884  0.26526078]
10475,[-0.03382656  0.36903036]
10476,[-0.06856084  0.4696757 ]
10477,[-0.11385626  0.56604674]
10478,[-0.16919707  0.65704215]
10479,[-0.23395306  0.74162182]
10480,[-0.30738677  0.81881875]
10481,[-0.38866185  0.88775005]
10482,[-0.47685262  0.947627  ]
10483,[-0.5709546   0.99776406]
10484,[-0.66989596  1.03758662]
10485,[-0.77254974  1.06663763]
10486,[-0.87774668  1.08458274]
10487,[-0.98428854  1.09121413]
10488,[-1.09096175  1.0864529 ]
10489,[-1.19655125  1.07034994]
10490,[-1.29985433  1.04308536]
10491,[-1.39969433  1.00496643]
10492,[-1.49493403  0.9564241 ]
10493,[-1.58448864  0.89800808]
10494,[-1.66733812  0.83038057]
10495,[-1.74253885  0.75430871]
10496,[-1.80923433  0.67065587]
10497,[-1.86666498  0.58037176]
10498,[-1.91417677  0.48448169]
10499,[-1.95122867  0.3840748 ]
10500,[-1.97739884  0.2802917 ]
10501,[-1.9923894   0.17431149]
10502,[-1.9923894   0.17431149]
10503,[-1.99602985  0.06733826]
10504,[-1.98827901 -0.03941253]
10505,[-1.96922549 -0.14472802]
10506,[-1.93908665 -0.24741164]
10507,[-1.89820617 -0.34629685]
10508,[-1.8470501  -0.44026037]
10509,[-1.78620158 -0.528235  ]
10510,[-1.71635416 -0.60922176]
10511,[-1.63830393 -0.6823013 ]
10512,[-1.55294042 -0.74664436]
10513,[-1.4612365  -0.80152121]
10514,[-1.36423727 -0.84630998]
10515,[-1.26304815 -0.88050372]
10516,[-1.15882233 -0.90371623]
10517,[-1.05274755 -0.91568638]
10518,[-0.94603266 -0.91628115]
10519,[-0.83989376 -0.90549714]
10520,[-0.73554043 -0.88346055]
10521,[-0.63416186 -0.85042583]
10522,[-0.53691338 -0.80677271]
10523,[-0.44490326 -0.7530019 ]
10524,[-0.35918007 -0.68972939]
10525,[-0.28072076 -0.61767944]
10526,[-0.21041952 -0.53767629]
10527,[-0.14907758 -0.4506348 ]
10528,[-0.09739411 -0.35755004]
10529,[-0.05595823 -0.25948591]
10530,[-0.02524229 -0.15756306]
10531,[-0.00559653 -0.05294608]
10532,[0.00275496 0.05316972]
10533,[-0.00028323  0.15957196]
10534,[-0.01467675  0.26504501]
10535,[-0.04026188  0.3683838 ]
10536,[-0.07674737  0.46840761]
10537,[-0.1237178   0.56397346]
10538,[-0.18063827  0.65398918]
10539,[-0.24686052  0.73742582]
10540,[-0.32163031  0.8133294 ]
10541,[-0.40409603  0.88083175]
10542,[-0.49331837  0.93916045]
10543,[-0.58828102  0.98764756]
10544,[-0.68790232  1.0257373 ]
10545,[-0.79104747  1.05299233]
10546,[-0.89654158  1.06909876]
10547,[-1.00318294  1.07386973]
10548,[-1.10975681  1.06724752]
10549,[-1.21504919  1.04930422]
10550,[-1.31786071  1.0202409 ]
10551,[-1.41702023  0.98038533]
10552,[-1.51139825  0.93018824]
10553,[-1.59991971  0.87021817]
10554,[-1.68157632  0.80115504]
10555,[-1.75543796  0.72378233]
10556,[-1.82066334  0.63897823]
10557,[-1.87650957  0.54770557]
10558,[-1.9223406   0.45100091]
10559,[-1.95763452  0.34996266]
10560,[-1.98198943  0.24573864]
10561,[-1.9951281   0.13951295]
10562,[-1.9951281   0.13951295]
10563,[-1.99690106  0.03249248]
10564,[-1.98728834 -0.07410678]
10565,[-1.96639971 -0.1790737 ]
10566,[-1.93447339 -0.28121569]
10567,[-1.89187335 -0.37937237]
10568,[-1.83908519 -0.47242879]
10569,[-1.77671056 -0.55932806]
10570,[-1.70546037 -0.63908348]
10571,[-1.62614661 -0.71078973]
10572,[-1.53967316 -0.77363319]
10573,[-1.44702547 -0.82690123]
10574,[-1.34925934 -0.8699903 ]
10575,[-1.24748888 -0.90241285]
10576,[-1.14287381 -0.92380283]
10577,[-1.03660628 -0.93391989]
10578,[-0.92989726 -0.93265215]
10579,[-0.82396274 -0.92001739]
10580,[-0.72000989 -0.89616295]
10581,[-0.6192233  -0.86136396]
10582,[-0.52275148 -0.81602026]
10583,[-0.4316938  -0.76065185]
10584,[-0.34708793 -0.6958929 ]
10585,[-0.26989801 -0.62248462]
10586,[-0.20100372 -0.54126672]
10587,[-0.14119021 -0.45316793]
10588,[-0.09113917 -0.35919535]
10589,[-0.05142105 -0.260423  ]
10590,[-0.02248859 -0.1579796 ]
10591,[-0.00467164 -0.05303569]
10592,[0.00182661 0.0532097 ]
10593,[-0.0030681   0.15954271]
10594,[-0.01930019  0.26474849]
10595,[-0.04668493  0.36762503]
10596,[-0.08491052  0.46699684]
10597,[-0.13354165  0.56172839]
10598,[-0.19202444  0.650737  ]
10599,[-0.25969277  0.7330052 ]
10600,[-0.33577588  0.8075923 ]
10601,[-0.41940712  0.87364515]
10602,[-0.50963384  0.93040782]
10603,[-0.60542825  0.97723022]
10604,[-0.70569913  1.01357552]
10605,[-0.80930424  1.03902627]
10606,[-0.91506337  1.05328912]
10607,[-1.02177176  1.05619822]
10608,[-1.12821382  1.04771705]
10609,[-1.23317702  1.02793888]
10610,[-1.33546565  0.99708567]
10611,[-1.4339145  0.9555056]
10612,[-1.52740208  0.90366903]
10613,[-1.61486344  0.84216318]
10614,[-1.69530229  0.77168546]
10615,[-1.76780234  0.69303548]
10616,[-1.83153775  0.60710595]
10617,[-1.88578254  0.51487255]
10618,[-1.92991887  0.41738275]
10619,[-1.96344405  0.31574393]
10620,[-1.9859763   0.21111073]
10621,[-1.99725907  0.10467191]
10622,[-1.99725907  0.10467191]
10623,[-1.99716399 -0.00236319]
10624,[-1.98569233 -0.10877846]
10625,[-1.96297495 -0.21336483]
10626,[-1.92927087 -0.31493407]
10627,[-1.88496425 -0.41233234]
10628,[-1.83056006 -0.50445329]
10629,[-1.76667834 -0.59025075]
10630,[-1.69404707 -0.66875053]
10631,[-1.61349394 -0.73906164]
10632,[-1.5259369  -0.80038636]
10633,[-1.43237367 -0.85202936]
10634,[-1.33387042 -0.89340562]
10635,[-1.2315496  -0.92404709]
10636,[-1.12657716 -0.94360802]
10637,[-1.02014925 -0.95186893]
10638,[-0.91347861 -0.94873904]
10639,[-0.80778073 -0.9342574 ]
10640,[-0.70426003 -0.90859236]
10641,[-0.60409611 -0.8720397 ]
10642,[-0.50843035 -0.82501925]
10643,[-0.41835285 -0.76807009]
10644,[-0.33489006 -0.70184443]
10645,[-0.25899305 -0.62710018]
10646,[-0.1915267  -0.54469228]
10647,[-0.13325984 -0.45556302]
10648,[-0.08485646 -0.36073124]
10649,[-0.04686821 -0.26128076]
10650,[-0.01972805 -0.15834802]
10651,[-0.00374533 -0.05310914]
10652,[0.00089769 0.05323347]
10653,[-0.00585203  0.15946487]
10654,[-0.02391775  0.26437134]
10655,[-0.05309376  0.36675427]
10656,[-0.09304781  0.46544383]
10657,[-0.14332482  0.55931222]
10658,[-0.20335212  0.6472866 ]
10659,[-0.27244593  0.72836129]
10660,[-0.34981917  0.8016092 ]
10661,[-0.43459045  0.86619243]
10662,[-0.52579408  0.92137178]
10663,[-0.62239106  0.9665152 ]
10664,[-0.72328098  1.001105  ]
10665,[-0.82731449  1.02474371]
10666,[-0.93330644  1.03715864]
10667,[-1.04004934  1.03820498]
10668,[-1.14632717  1.02786743]
10669,[-1.25092921  1.00626041]
10670,[-1.3526638   0.97362672]
10671,[-1.45037198  0.93033481]
10672,[-1.54294065  0.87687455]
10673,[-1.62931526  0.81385166]
10674,[-1.70851185  0.74198083]
10675,[-1.77962823  0.66207752]
10676,[-1.84185426  0.57504875]
10677,[-1.8944811   0.48188269]
10678,[-1.93690927  0.38363745]
10679,[-1.9686555   0.28142902]
10680,[-1.98935822  0.17641851]
10681,[-1.99878165  0.06979899]
10682,[-1.99878165  0.06979899]
10683,[-1.99681857 -0.03721815]
10684,[-1.98349145 -0.143417  ]
10685,[-1.95895225 -0.24759097]
10686,[-1.92348067 -0.34855652]
10687,[-1.87748097 -0.4451667 ]
10688,[-1.82147734 -0.53632414]
10689,[-1.75610797 -0.62099364]
10690,[-1.68211776 -0.69821388]
10691,[-1.6003498  -0.76710843]
10692,[-1.51173582 -0.82689573]
10693,[-1.41728554 -0.87689796]
10694,[-1.31807518 -0.9165488 ]
10695,[-1.21523519 -0.94539986]
10696,[-1.10993735 -0.96312579]
10697,[-1.00338148 -0.96952801]
10698,[-0.8967817  -0.96453695]
10699,[-0.79135266 -0.94821283]
10700,[-0.68829564 -0.92074501]
10701,[-0.58878491 -0.88244982]
10702,[-0.49395434 -0.83376693]
10703,[-0.40488446 -0.77525437]
10704,[-0.32259018 -0.70758218]
10705,[-0.2480092  -0.63152472]
10706,[-0.18199134 -0.54795193]
10707,[-0.12528887 -0.45781934]
10708,[-0.07854791 -0.36215725]
10709,[-0.0423011  -0.26205892]
10710,[-0.01696149 -0.1586682 ]
10711,[-0.00281788 -0.05316642]
10712,[-3.14993708e-05  5.32410336e-02]
10713,[-0.00863419  0.15933845]
10714,[-0.02852802  0.26391365]
10715,[-0.05948642  0.3657718 ]
10716,[-0.10115675  0.46374903]
10717,[-0.15306434  0.55672567]
10718,[-0.21461786  0.64363904]
10719,[-0.28511609  0.72349552]
10720,[-0.3637559   0.79538193]
10721,[-0.4496414   0.85847585]
10722,[-0.54179415  0.91205507]
10723,[-0.63916429  0.95550577]
10724,[-0.74064251  0.98832953]
10725,[-0.84507273  1.01014901]
10726,[-0.9512652   1.02071224]
10727,[-1.05801011  1.01989549]
10728,[-1.16409134  1.00770472]
10729,[-1.26830035  0.98427543]
10730,[-1.36944991  0.9498712 ]
10731,[-1.46638766  0.90488064]
10732,[-1.55800922  0.84981297]
10733,[-1.64327078  0.78529224]
10734,[-1.72120099  0.71205018]
10735,[-1.79091203  0.63091789]
10736,[-1.85160972  0.54281637]
10737,[-1.90260257  0.44874604]
10738,[-1.94330967  0.34977529]
10739,[-1.97326728  0.24702838]
10740,[-1.99213415  0.14167255]
10741,[-1.99969539  0.03490481]
10742,[-1.99969539  0.03490481]
10743,[-1.9958649  -0.07206177]
10744,[-1.98068639 -0.17801186]
10745,[-1.95433284 -0.28174169]
10746,[-1.91710457 -0.3820728 ]
10747,[-1.86942579 -0.47786546]
10748,[-1.81183977 -0.56803162]
10749,[-1.74500267 -0.65154737]
10750,[-1.66967605 -0.72746454]
10751,[-1.58671817 -0.79492155]
10752,[-1.49707426 -0.85315322]
10753,[-1.40176571 -0.90149945]
10754,[-1.30187845 -0.93941279]
10755,[-1.1985506  -0.96646465]
10756,[-1.09295944 -0.98235018]
10757,[-0.98630806 -0.98689177]
10758,[-0.87981163 -0.98004104]
10759,[-0.77468354 -0.96187942]
10760,[-0.67212159 -0.93261719]
10761,[-0.57329437 -0.89259113]
10762,[-0.47932787 -0.84226063]
10763,[-0.39129274 -0.78220251]
10764,[-0.31019203 -0.71310438]
10765,[-0.2369498  -0.63575689]
10766,[-0.17240054 -0.55104466]
10767,[-0.11727974 -0.45993621]
10768,[-0.07221543 -0.36347294]
10769,[-0.03772109 -0.26275727]
10770,[-0.01418976 -0.15894006]
10771,[-0.00188957 -0.0532075 ]
10772,[-0.00096068  0.05323237]
10773,[-0.01141371  0.15916349]
10774,[-0.0331296   0.26337557]
10775,[-0.06586096  0.36467791]
10776,[-0.10923488  0.46191297]
10777,[-0.16275723  0.55396954]
10778,[-0.22581822  0.63979541]
10779,[-0.2976994   0.71840937]
10780,[-0.37758183  0.78891237]
10781,[-0.46455539  0.85049778]
10782,[-0.55762919  0.90246055]
10783,[-0.65574281  0.94420529]
10784,[-0.75777844  0.97525301]
10785,[-0.86257355  0.99524661]
10786,[-0.96893421  1.00395491]
10787,[-1.0756486   1.00127534]
10788,[-1.18150092  0.98723504]
10789,[-1.28528516  0.96199062]
10790,[-1.38581888  0.92582633]
10791,[-1.48195667  0.87915083]
10792,[-1.57260321  0.82249253]
10793,[-1.65672574  0.75649361]
10794,[-1.73336583  0.68190263]
10795,[-1.8016503   0.59956607]
10796,[-1.86080116  0.51041865]
10797,[-1.91014449  0.4154727 ]
10798,[-1.94911811  0.31580659]
10799,[-1.97727798  0.21255249]
10800,[-1.99430327  0.10688344]
10801,[-2.00000000e+00  2.65202405e-12]
10802,[-2.00000000e+00  2.65202405e-12]
10803,[-1.99430327 -0.10688344]
10804,[-1.97727798 -0.21255249]
10805,[-1.94911811 -0.31580659]
10806,[-1.91014449 -0.4154727 ]
10807,[-1.86080116 -0.51041865]
10808,[-1.8016503  -0.59956607]
10809,[-1.73336583 -0.68190263]
10810,[-1.65672574 -0.75649361]
10811,[-1.57260321 -0.82249253]
10812,[-1.48195667 -0.87915083]
10813,[-1.38581888 -0.92582633]
10814,[-1.28528516 -0.96199062]
10815,[-1.18150092 -0.98723504]
10816,[-1.0756486  -1.00127534]
10817,[-0.96893421 -1.00395491]
10818,[-0.86257355 -0.99524661]
10819,[-0.75777844 -0.97525301]
10820,[-0.65574281 -0.94420529]
10821,[-0.55762919 -0.90246055]
10822,[-0.46455539 -0.85049778]
10823,[-0.37758183 -0.78891237]
10824,[-0.2976994  -0.71840937]
10825,[-0.22581822 -0.63979541]
10826,[-0.16275723 -0.55396954]
10827,[-0.10923488 -0.46191297]
10828,[-0.06586096 -0.36467791]
10829,[-0.0331296  -0.26337557]
10830,[-0.01141371 -0.15916349]
10831,[-0.00096068 -0.05323237]
10832,[-0.00188957  0.0532075 ]
10833,[-0.01418976  0.15894006]
10834,[-0.03772109  0.26275727]
10835,[-0.07221543  0.36347294]
10836,[-0.11727974  0.45993621]
10837,[-0.17240054  0.55104466]
10838,[-0.2369498   0.63575689]
10839,[-0.31019203  0.71310438]
10840,[-0.39129274  0.78220251]
10841,[-0.47932787  0.84226063]
10842,[-0.57329437  0.89259113]
10843,[-0.67212159  0.93261719]
10844,[-0.77468354  0.96187942]
10845,[-0.87981163  0.98004104]
10846,[-0.98630806  0.98689177]
10847,[-1.09295944  0.98235018]
10848,[-1.1985506   0.96646465]
10849,[-1.30187845  0.93941279]
10850,[-1.40176571  0.90149945]
10851,[-1.49707426  0.85315322]
10852,[-1.58671817  0.79492155]
10853,[-1.66967605  0.72746454]
10854,[-1.74500267  0.65154737]
10855,[-1.81183977  0.56803162]
10856,[-1.86942579  0.47786546]
10857,[-1.91710457  0.3820728 ]
10858,[-1.95433284  0.28174169]
10859,[-1.98068639  0.17801186]
10860,[-1.9958649   0.07206177]
10861,[-1.99969539 -0.03490481]
10862,[-1.99969539 -0.03490481]
10863,[-1.99213415 -0.14167255]
10864,[-1.97326728 -0.24702838]
10865,[-1.94330967 -0.34977529]
10866,[-1.90260257 -0.44874604]
10867,[-1.85160972 -0.54281637]
10868,[-1.79091203 -0.63091789]
10869,[-1.72120099 -0.71205018]
10870,[-1.64327078 -0.78529224]
10871,[-1.55800922 -0.84981297]
10872,[-1.46638766 -0.90488064]
10873,[-1.36944991 -0.9498712 ]
10874,[-1.26830035 -0.98427543]
10875,[-1.16409134 -1.00770472]
10876,[-1.05801011 -1.01989549]
10877,[-0.9512652  -1.02071224]
10878,[-0.84507273 -1.01014901]
10879,[-0.74064251 -0.98832953]
10880,[-0.63916429 -0.95550577]
10881,[-0.54179415 -0.91205507]
10882,[-0.4496414  -0.85847585]
10883,[-0.3637559  -0.79538193]
10884,[-0.28511609 -0.72349552]
10885,[-0.21461786 -0.64363904]
10886,[-0.15306434 -0.55672567]
10887,[-0.10115675 -0.46374903]
10888,[-0.05948642 -0.3657718 ]
10889,[-0.02852802 -0.26391365]
10890,[-0.00863419 -0.15933845]
10891,[-3.14993710e-05 -5.32410336e-02]
10892,[-0.00281788  0.05316642]
10893,[-0.01696149  0.1586682 ]
10894,[-0.0423011   0.26205892]
10895,[-0.07854791  0.36215725]
10896,[-0.12528887  0.45781934]
10897,[-0.18199134  0.54795193]
10898,[-0.2480092   0.63152472]
10899,[-0.32259018  0.70758218]
10900,[-0.40488446  0.77525437]
10901,[-0.49395434  0.83376693]
10902,[-0.58878491  0.88244982]
10903,[-0.68829564  0.92074501]
10904,[-0.79135266  0.94821283]
10905,[-0.8967817   0.96453695]
10906,[-1.00338148  0.96952801]
10907,[-1.10993735  0.96312579]
10908,[-1.21523519  0.94539986]
10909,[-1.31807518  0.9165488 ]
10910,[-1.41728554  0.87689796]
10911,[-1.51173582  0.82689573]
10912,[-1.6003498   0.76710843]
10913,[-1.68211776  0.69821388]
10914,[-1.75610797  0.62099364]
10915,[-1.82147734  0.53632414]
10916,[-1.87748097  0.4451667 ]
10917,[-1.92348067  0.34855652]
10918,[-1.95895225  0.24759097]
10919,[-1.98349145  0.143417  ]
