,end traj
505,[0.13457826 0.66499679]
506,[0.08407563 0.57122977]
507,[0.04388596 0.47262022]
508,[0.01446665 0.37029497]
509,[-0.00384761  0.26542317]
510,[-0.01084864  0.15920301]
511,[-0.00645719  0.05284802]
512,[ 0.00927623 -0.05242671]
513,[ 0.03617185 -0.15541843]
514,[ 0.07392274 -0.25495037]
515,[ 0.12209829 -0.3498852 ]
516,[ 0.18014913 -0.43913795]
517,[ 0.24741335 -0.52168841]
518,[ 0.32312408 -0.59659271]
519,[ 0.40641821 -0.66299411]
520,[ 0.49634626 -0.72013274]
521,[ 0.59188311 -0.76735427]
522,[ 0.69193978 -0.80411734]
523,[ 0.79537578 -0.82999978]
524,[ 0.90101211 -0.84470336]
525,[ 1.00764471 -0.84805724]
526,[ 1.11405817 -0.84001986]
527,[ 1.21903955 -0.82067946]
528,[ 1.32139227 -0.79025308]
529,[ 1.41994965 -0.74908403]
530,[ 1.51358829 -0.69763804]
531,[ 1.60124081 -0.63649792]
532,[ 1.68190803 -0.56635694]
533,[ 1.75467037 -0.48801091]
534,[ 1.8186983  -0.40234912]
535,[ 1.87326179 -0.31034422]
536,[ 1.91773868 -0.21304112]
537,[ 1.95162169 -0.11154511]
538,[ 1.97452427 -0.00700924]
539,[1.98618494 0.09937881]
540,[1.98647034 0.20641024]
541,[1.97537668 0.31286893]
542,[1.97537668 0.31286893]
543,[1.95302983 0.41754529]
544,[1.91968387 0.51925004]
545,[1.8757182  0.61682774]
546,[1.82163319 0.70916997]
547,[1.75804454 0.79522799]
548,[1.6856762  0.87402462]
549,[1.60535215 0.94466543]
550,[1.51798703 1.00634892]
551,[1.42457568 1.05837563]
552,[1.32618183 1.10015612]
553,[1.223926   1.13121771]
554,[1.11897268 1.15120982]
555,[1.0125171 1.159908 ]
556,[0.90577161 1.15721649]
557,[0.79995187 1.14316926]
558,[0.69626297 1.1179297 ]
559,[0.59588575 1.08178869]
560,[0.49996328 1.03516133]
561,[0.40958791 0.97858219]
562,[0.32578878 0.91269921]
563,[0.24952009 0.83826636]
564,[0.18165024 0.75613501]
565,[0.12295197 0.66724422]
566,[0.07409349 0.57261009]
567,[0.03563091 0.47331415]
568,[0.00800191 0.37049105]
569,[-0.00847929  0.26531559]
570,[-0.01362546  0.15898943]
571,[-0.00737853  0.05272728]
572,[ 0.01018979 -0.05225684]
573,[ 0.03887876 -0.15476347]
574,[ 0.07836098 -0.25362141]
575,[ 0.12818604 -0.347701  ]
576,[ 0.1877857  -0.43592703]
577,[ 0.25648038 -0.517291  ]
578,[ 0.33348684 -0.59086256]
579,[ 0.41792716 -0.65580016]
580,[ 0.50883871 -0.71136062]
581,[ 0.60518514 -0.75690761]
582,[ 0.70586818 -0.79191886]
583,[ 0.80974013 -0.81599215]
584,[ 0.91561699 -0.82884988]
585,[ 1.02229188 -0.83034225]
586,[ 1.12854886 -0.82044892]
587,[ 1.23317672 -0.79927929]
588,[ 1.33498283 -0.76707124]
589,[ 1.43280671 -0.7241884 ]
590,[ 1.52553323 -0.67111603]
591,[ 1.61210535 -0.60845548]
592,[ 1.69153616 -0.53691734]
593,[ 1.76292009 -0.45731336]
594,[ 1.82544326 -0.37054718]
595,[ 1.87839274 -0.27760402]
596,[ 1.92116468 -0.17953952]
597,[ 1.95327118 -0.07746763]
598,[1.97434587 0.02745203]
599,[1.98414804 0.13402738]
600,[1.98256544 0.24104749]
601,[1.96961551 0.34729636]
602,[1.96961551 0.34729636]
603,[1.94544521 0.45156677]
604,[1.91032933 0.55267406]
605,[1.86466739 0.64946959]
606,[1.80897903 0.74085385]
607,[1.74389814 0.82578898]
608,[1.67016563 0.90331061]
609,[1.58862096 0.97253881]
610,[1.50019262 1.03268817]
611,[1.4058875 1.0830767]
612,[1.30677948 1.12313363]
613,[1.20399712 1.15240587]
614,[1.09871087 1.17056325]
615,[0.9921197 1.1774022]
616,[0.88543744 1.17284813]
617,[0.77987898 1.15695624]
618,[0.67664636 1.1299109 ]
619,[0.57691517 1.09202357]
620,[0.48182108 1.04372924]
621,[0.39244692 0.98558144]
622,[0.30981036 0.918246  ]
623,[0.23485232 0.84249342]
624,[0.1684262  0.75919008]
625,[0.11128823 0.6692884 ]
626,[0.06408878 0.57381599]
627,[0.02736501 0.47386391]
628,[0.00153473 0.37057427]
629,[-0.0131084  0.2651272]
630,[-0.01639814  0.15872741]
631,[-0.00829762  0.05259048]
632,[ 0.01110024 -0.05207104]
633,[ 0.04157384 -0.15406137]
634,[ 0.08277535 -0.25221519]
635,[ 0.13423473 -0.34541089]
636,[ 0.19536508 -0.43258333]
637,[ 0.26546929 -0.51273601]
638,[ 0.34374802 -0.58495242]
639,[ 0.4293088  -0.64840644]
640,[ 0.52117617 -0.70237182]
641,[ 0.61830283 -0.74623039]
642,[ 0.71958156 -0.77947914]
643,[ 0.82385783 -0.80173595]
644,[ 0.92994296 -0.81274393]
645,[ 1.03662765 -0.81237433]
646,[ 1.14269578 -0.80062807]
647,[ 1.24693825 -0.77763566]
648,[ 1.34816675 -0.74365575]
649,[ 1.44522731 -0.69907218]
650,[ 1.53701347 -0.64438959]
651,[ 1.62247884 -0.58022769]
652,[ 1.70064903 -0.50731419]
653,[ 1.77063281 -0.42647651]
654,[ 1.83163218 -0.33863236]
655,[ 1.88295151 -0.24477927]
656,[ 1.92400547 -0.14598323]
657,[ 1.95432569 -0.04336655]
